Threshold,Precision,Recall,F1,Accuracy
0.32999999999999996,0.8541666666666666,0.9761904761904762,0.9111111111111111,0.952
0.33999999999999997,0.8541666666666666,0.9761904761904762,0.9111111111111111,0.952
0.3499999999999999,0.8541666666666666,0.9761904761904762,0.9111111111111111,0.952
0.35999999999999993,0.8541666666666666,0.9761904761904762,0.9111111111111111,0.952
0.36999999999999994,0.8541666666666666,0.9761904761904762,0.9111111111111111,0.952
0.37999999999999995,0.8723404255319149,0.9761904761904762,0.9213483146067416,0.958
0.38999999999999996,0.8723404255319149,0.9761904761904762,0.9213483146067416,0.958
0.3999999999999999,0.8723404255319149,0.9761904761904762,0.9213483146067416,0.958
0.4099999999999999,0.8723404255319149,0.9761904761904762,0.9213483146067416,0.958
0.41999999999999993,0.8723404255319149,0.9761904761904762,0.9213483146067416,0.958
0.42999999999999994,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.968
0.43999999999999995,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.968
0.4499999999999999,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.968
0.4599999999999999,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.968
0.4699999999999999,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.968
0.4799999999999999,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.968
0.48999999999999994,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.968
0.49999999999999994,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.968
0.5099999999999999,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.968
0.5199999999999999,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.968
0.5299999999999999,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.968
0.5399999999999999,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.968
0.5499999999999999,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.968
0.5599999999999999,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.968
0.57,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.968
0.58,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.968
0.59,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.968
0.6,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.968
0.61,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.968
0.62,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.968
0.63,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.968
0.6399999999999999,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.968
0.6499999999999999,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.968
0.6599999999999999,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.968
0.6699999999999999,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.968
0.6799999999999999,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.968
0.69,0.9029850746268657,0.9603174603174603,0.9307692307692308,0.964
0.7,0.9029850746268657,0.9603174603174603,0.9307692307692308,0.964
0.71,0.9029850746268657,0.9603174603174603,0.9307692307692308,0.964
0.72,0.9029850746268657,0.9603174603174603,0.9307692307692308,0.964
0.73,0.9029850746268657,0.9603174603174603,0.9307692307692308,0.964
0.74,0.9029850746268657,0.9603174603174603,0.9307692307692308,0.964
0.7499999999999999,0.9296875,0.9444444444444444,0.937007874015748,0.968
0.7599999999999999,0.9296875,0.9444444444444444,0.937007874015748,0.968
0.7699999999999999,0.9296875,0.9444444444444444,0.937007874015748,0.968
0.7799999999999999,0.9296875,0.9444444444444444,0.937007874015748,0.968
0.7899999999999999,0.9296875,0.9444444444444444,0.937007874015748,0.968
0.7999999999999999,0.9365079365079365,0.9365079365079365,0.9365079365079365,0.968
0.8099999999999999,0.9365079365079365,0.9365079365079365,0.9365079365079365,0.968
0.82,0.9365079365079365,0.9365079365079365,0.9365079365079365,0.968
0.83,0.9365079365079365,0.9365079365079365,0.9365079365079365,0.968
0.84,0.9365079365079365,0.9365079365079365,0.9365079365079365,0.968
0.8499999999999999,0.9365079365079365,0.9365079365079365,0.9365079365079365,0.968
0.8599999999999999,0.9365079365079365,0.9365079365079365,0.9365079365079365,0.968
0.8699999999999999,0.9365079365079365,0.9365079365079365,0.9365079365079365,0.968
0.8799999999999999,0.9365079365079365,0.9365079365079365,0.9365079365079365,0.968
0.8899999999999999,0.9365079365079365,0.9365079365079365,0.9365079365079365,0.968
0.8999999999999999,0.9365079365079365,0.9365079365079365,0.9365079365079365,0.968
0.9099999999999999,0.9365079365079365,0.9365079365079365,0.9365079365079365,0.968
0.9199999999999999,0.9365079365079365,0.9365079365079365,0.9365079365079365,0.968
0.9299999999999999,0.9365079365079365,0.9365079365079365,0.9365079365079365,0.968
0.94,0.9733333333333334,0.5793650793650794,0.7263681592039801,0.89
0.95,0.9733333333333334,0.5793650793650794,0.7263681592039801,0.89
